CMDLINE /Users/cconlon/anaconda3/bin/python3.7 2_Process_WRDS_Data.py
MEM 0.011719 1593110067.7959
MEM 15.492188 1593110067.8964
MEM 27.156250 1593110068.0016
MEM 27.640625 1593110068.1035
MEM 38.078125 1593110068.2087
MEM 47.500000 1593110068.3102
MEM 59.285156 1593110068.4147
MEM 70.726562 1593110068.5157
MEM 79.019531 1593110068.6160
MEM 90.390625 1593110068.7162
MEM 98.460938 1593110068.8172
MEM 129.261719 1593110068.9178
MEM 393.695312 1593110069.0181
MEM 1016.312500 1593110069.1233
MEM 1527.113281 1593110069.2278
MEM 1786.457031 1593110069.3282
MEM 2098.273438 1593110069.4286
MEM 2332.925781 1593110069.5289
MEM 2572.628906 1593110069.6292
MEM 2753.242188 1593110069.7311
MEM 3012.308594 1593110069.8318
MEM 3476.023438 1593110069.9335
MEM 3789.046875 1593110070.0337
MEM 4023.851562 1593110070.1339
MEM 4149.144531 1593110070.2391
MEM 4570.132812 1593110070.3402
MEM 4864.898438 1593110070.4454
MEM 5138.886719 1593110070.5466
MEM 5189.035156 1593110070.6518
MEM 5358.714844 1593110070.7548
MEM 5794.535156 1593110070.8553
MEM 5506.093750 1593110070.9563
MEM 5222.003906 1593110071.0567
MEM 5337.960938 1593110071.1619
MEM 5374.277344 1593110071.2637
MEM 5405.519531 1593110071.3666
MEM 5841.253906 1593110071.4672
MEM 6633.628906 1593110071.5700
MEM 7330.851562 1593110071.6723
MEM 7361.210938 1593110071.7762
MEM 7901.699219 1593110071.8805
MEM 8110.496094 1593110071.9807
MEM 8126.328125 1593110072.0831
MEM 8141.183594 1593110072.1843
MEM 8156.328125 1593110072.2895
MEM 8170.421875 1593110072.3904
MEM 8184.066406 1593110072.4911
MEM 8196.996094 1593110072.5915
MEM 8210.417969 1593110072.6961
MEM 8223.515625 1593110072.7985
MEM 8236.488281 1593110072.9024
MEM 8249.941406 1593110073.0077
MEM 8262.519531 1593110073.1087
MEM 8275.343750 1593110073.2138
MEM 8288.171875 1593110073.3172
MEM 8300.640625 1593110073.4192
MEM 8319.207031 1593110073.5233
MEM 8350.027344 1593110073.6258
MEM 8380.859375 1593110073.7306
MEM 8411.679688 1593110073.8340
MEM 8441.656250 1593110073.9377
MEM 8472.304688 1593110074.0429
MEM 8502.316406 1593110074.1440
MEM 8531.976562 1593110074.2453
MEM 8561.773438 1593110074.3478
MEM 8595.785156 1593110074.4510
MEM 8633.730469 1593110074.5528
MEM 8672.644531 1593110074.6561
MEM 8711.316406 1593110074.7611
MEM 8750.542969 1593110074.8659
MEM 8789.683594 1593110074.9711
MEM 8828.671875 1593110075.0756
MEM 8869.250000 1593110075.1808
MEM 8911.964844 1593110075.2860
MEM 8954.906250 1593110075.3912
MEM 8996.500000 1593110075.4924
MEM 9040.402344 1593110075.5976
MEM 9088.468750 1593110075.7012
MEM 8589.574219 1593110075.8014
MEM 5623.527344 1593110075.9066
MEM 4026.140625 1593110076.0070
MEM 4131.132812 1593110076.1116
MEM 4162.957031 1593110076.2144
MEM 4150.878906 1593110076.3179
MEM 4189.757812 1593110076.4221
MEM 4222.398438 1593110076.5258
MEM 4222.148438 1593110076.6265
MEM 4222.375000 1593110076.7290
MEM 4311.187500 1593110076.8314
MEM 4554.269531 1593110076.9366
MEM 4577.207031 1593110077.0379
MEM 4656.113281 1593110077.1431
MEM 4948.429688 1593110077.2484
MEM 5188.253906 1593110077.3490
MEM 5420.121094 1593110077.4498
MEM 5666.269531 1593110077.5550
MEM 5903.335938 1593110077.6587
MEM 6133.210938 1593110077.7638
MEM 6375.570312 1593110077.8691
MEM 6619.367188 1593110077.9743
MEM 6856.515625 1593110078.0768
MEM 7099.027344 1593110078.1782
MEM 7355.539062 1593110078.2834
MEM 7610.902344 1593110078.3887
MEM 7871.585938 1593110078.4938
MEM 8131.875000 1593110078.5990
MEM 8375.894531 1593110078.7011
MEM 8614.132812 1593110078.8026
MEM 8852.929688 1593110078.9029
MEM 9103.996094 1593110079.0081
MEM 8118.289062 1593110079.1133
MEM 5494.019531 1593110079.2144
MEM 5316.722656 1593110079.3192
MEM 5470.378906 1593110079.4227
MEM 5470.378906 1593110079.5239
MEM 5470.382812 1593110079.6252
MEM 5470.382812 1593110079.7272
MEM 5473.375000 1593110079.8324
MEM 5474.679688 1593110079.9329
MEM 5475.796875 1593110080.0381
MEM 5476.316406 1593110080.1433
MEM 5476.574219 1593110080.2485
MEM 5476.808594 1593110080.3528
MEM 5476.960938 1593110080.4573
MEM 5486.394531 1593110080.5607
MEM 5530.953125 1593110080.6641
MEM 5645.238281 1593110080.7649
MEM 5757.816406 1593110080.8695
MEM 5757.816406 1593110080.9699
MEM 5845.531250 1593110081.0707
MEM 6085.003906 1593110081.1759
MEM 6313.371094 1593110081.2790
MEM 6535.281250 1593110081.3803
MEM 6605.980469 1593110081.4815
MEM 6843.503906 1593110081.5867
MEM 6843.503906 1593110081.6919
MEM 6843.503906 1593110081.7953
MEM 6843.503906 1593110081.8977
MEM 6843.503906 1593110081.9990
MEM 6843.503906 1593110082.1039
MEM 6844.796875 1593110082.2082
MEM 7081.363281 1593110082.3135
MEM 7292.199219 1593110082.4139
MEM 7386.347656 1593110082.5165
MEM 6843.503906 1593110082.6178
MEM 6953.035156 1593110082.7207
MEM 7161.855469 1593110082.8216
MEM 7377.886719 1593110082.9258
MEM 7584.355469 1593110083.0263
MEM 7803.316406 1593110083.1315
MEM 7929.191406 1593110083.2328
MEM 7929.191406 1593110083.3347
MEM 7929.191406 1593110083.4378
MEM 7929.191406 1593110083.5407
MEM 7929.191406 1593110083.6415
MEM 7929.191406 1593110083.7427
MEM 7929.191406 1593110083.8440
MEM 7929.191406 1593110083.9454
MEM 6843.503906 1593110084.0466
MEM 6843.511719 1593110084.1510
MEM 6999.757812 1593110084.2562
MEM 7210.859375 1593110084.3570
MEM 7401.878906 1593110084.4576
